method_id,display_name,group,language,source,status,priority,notes
switchbox_tsp,TSP,relational_R,R,switchBox/internal,PASS_FULL,high,Classical TSP completed cv10x10; internal implementation used for k=1 edge case.
switchbox_ktsp,k-TSP,relational_R,R,switchBox,PASS_FULL,high,switchBox k-TSP completed cv10x10.
tspdt_bigtsp,TSPDT / TSP-tree,relational_R,R,BigTSP,PASS_FULL,high,BigTSP tsp.tree completed cv10x10.
rrf_ranktreeensemble,Random Rank Forest,relational_R,R,ranktreeEnsemble,PASS_FULL,high,ranktreeEnsemble rforest completed cv10x10.
rtb_ranktreeensemble,Rank-tree boosting,relational_R,R,ranktreeEnsemble,PASS_ENV,medium,rboost available; benchmark pending.
py_wucc009_tsp,TSP from wucc009 notebook,relational_python,Python,wucc009 notebook,PROBE_ONLY,medium,Likely duplicate of current TSP; useful for source coverage.
py_wucc009_ktsp_svm,k-TSP+SVM,relational_python,Python,wucc009 notebook,PROBE_ONLY,high,Python notebook method; likely first Python wrapper target.
py_wucc009_reos,REOs,relational_python,Python,wucc009 notebook,PROBE_ONLY,medium,Need determine if pure REO is supervised classifier or signature/rule discovery.
py_wucc009_reos_ml,REOs+ML,relational_python,Python,wucc009 notebook,PROBE_ONLY,high,Good candidate: relation encoding plus ML.
py_wucc009_tsp_ml,TSP+ML,relational_python,Python,wucc009 notebook,PROBE_ONLY,high,Good candidate: TSP-ranked pair features plus ML.
gers,GERs,relational_R,R,wucc009 R notebook,PROBE_ONLY,medium,Need inspect exact implementation.
tspg,TSPG,relational_R,R,wucc009 R notebook,PROBE_ONLY,medium,Need inspect exact implementation.
svm_ktsp,SVM+kTSP,relational_TBD,TBD,historical/figure4,TODO,medium,Need exact implementation definition.
rankcompv2,RankCompV2,relational_TBD,TBD,RankComp family,TODO,medium,May not match simple supervised benchmark; inspect before inclusion.
rankcompv3,RankCompV3,relational_TBD,TBD,RankComp family,TODO,low,Optional extension.
dirac,DIRAC,relational_TBD,TBD,literature,TODO,low,Potential rank-template method; inspect task compatibility.
tst,TST,relational_TBD,TBD,figure4_or_prior_table,TODO,medium,Need exact source/definition.
tsn,TSN,relational_TBD,TBD,figure4_or_prior_table,TODO,medium,Need exact source/definition.
emt_tree_rx,EMTTree+RX,legacy_cpp,C++,user legacy,STATUS_ONLY,medium,Important user method; public reproducible wrapper not yet available.
rmct,RMCT / top-down multitest,legacy_cpp_cuda,C++/CUDA,user legacy,STATUS_ONLY,medium,Important user method; public reproducible wrapper not yet available.
ffr_tree,FFR tree,unknown,TBD,TBD,TODO,low,Need identify exact package/source.
knn_rrm,KNN+RRM / relational kNN,relational_python,Python/custom,TBD,TODO,high,Candidate Python/R relational kNN method.
glmnet_enet,Elastic-net logistic regression,classical_R,R,glmnet,PASS_FULL,reference,Lightweight non-nested baseline.
svm_linear,Linear SVM,classical_R,R,e1071,PASS_FULL,reference,Lightweight non-nested baseline.
knn_euclidean,Euclidean kNN,classical_R,R,class,PASS_FULL,reference,Lightweight non-nested baseline.
rpart_tree,CART decision tree,classical_R,R,rpart,PASS_FULL,reference,Lightweight non-nested baseline.
ranger_rf,Random forest,classical_R,R,ranger,PASS_FULL,reference,Lightweight non-nested baseline.
xgboost_shallow,Shallow XGBoost,classical_R,R,xgboost,PASS_FULL,reference,Lightweight non-nested baseline.
py_tsp,Python TSP wrapper,relational_python,Python,benchmark wrapper inspired by wucc009 notebook,PASS_FULL,high,"Completed full cv10x10; benchmark-compatible wrapper, not verbatim notebook execution."
py_tsp_svm,Python TSP+SVM wrapper,relational_python,Python,benchmark wrapper inspired by wucc009 notebook,PASS_FULL,high,Completed full cv10x10; TSP pair encoding plus linear SVM.
py_tsp_rf,Python TSP+RF wrapper,relational_python,Python,benchmark wrapper inspired by wucc009 notebook,PASS_FULL,high,Completed full cv10x10; TSP pair encoding plus shallow RF.
py_reos,Python REO wrapper,relational_python,Python,benchmark wrapper inspired by wucc009 notebook,PASS_FULL,high,Completed full cv10x10; REO-style voting wrapper.
py_reos_svm,Python REO+SVM wrapper,relational_python,Python,benchmark wrapper inspired by wucc009 notebook,PASS_FULL,high,Completed full cv10x10; REO pair encoding plus linear SVM.
pyrrm_knn5,pyrrm relational kNN,relational_python,Python,pyrrm,PASS_FULL,high,"Completed full cv10x10; exact pyrrm.relative_relation_metric in sklearn KNeighborsClassifier, k=5."
