"method_id","method_family","source","language","status","requires_external_code","probabilities","model_size_available","notes"
"majority","classic","internal","R","PASS_SMOKE","no","no","no","majority class baseline"
"glmnet_enet","classic","internal","R","PASS_ENV","no","yes","features","elastic net logistic regression"
"svm_linear","classic","e1071","R","PASS_ENV","no","no","features","linear SVM baseline"
"ranger_rf","classic","ranger","R","PASS_ENV","no","yes","features","random forest baseline"
"xgboost_shallow","classic","xgboost","R","PASS_ENV","no","yes","features","shallow/default xgboost baseline"
"switchbox_tsp","relational","switchBox","R","PASS_WRAPPER","no","score","relations","TSP via switchBox"
"switchbox_ktsp","relational","switchBox","R","PASS_WRAPPER","no","score","relations","k-TSP via switchBox"
"svm_ktsp","relational","external_or_internal","TBD","TODO","yes","score","relations","SVM trained on kTSP/pair-derived representation"
"ger","relational","external","TBD","TODO","yes","TBD","relations","verify implementation used in manuscript"
"rankcompv2","relational","external","TBD","TODO","yes","TBD","relations","verify implementation used in manuscript"
"ranktreeensemble","relational_tree","external","TBD","TODO","yes","TBD","tree_nodes","verify implementation used in manuscript"
"tspdt_bigtsp","relational_tree","BigTSP","R","PASS_WRAPPER","no","TBD","tree_nodes","BigTSP::tsp.tree / TSP-tree implementation"
"rrf_ranktreeensemble","relational_tree_ensemble","ranktreeEnsemble","R","PASS_WRAPPER","no","yes","tree_nodes_or_rules","Random Rank Forest / rank-based tree ensemble candidate implementation"
"rtb_ranktreeensemble","relational_tree_ensemble","ranktreeEnsemble","R","PASS_WRAPPER","no","yes","tree_nodes_or_rules","Rank-based tree boosting candidate implementation"
"knn_rrm","relational_knn","pyRRM_or_external_python","Python","TODO","yes","score",NA,"KNN with Relative Relation Metric; probe later in isolated Python environment"
"wucc009_gene_pair_methods","relational_external_collection","wucc009_external_repo","mixed","TODO","yes","TBD","relations","External gene-pair methods repository; inspect after required R methods"
